Fiscal Year: All fiscal years
Department Division: All department divisions
Account Category: All account categories
Operating Unit: Economic Development
Budget Amount: 9620787
Id,FiscalYear,OperatingUnit,AccountCategory,DepartmentDivision,BudgetAmount
37312,FY18,Economic Development,Service & Supply Adjustments,Citywide Development Division,34414
2514,FY15,Economic Development,Employee Benefits,Downtown Development Division,34388
15692,FY16,Economic Development,Employee Benefits,Downtown Development Division,34388
26548,FY17,Economic Development,Employee Benefits,Downtown Development Division,34388
15679,FY16,Economic Development,Employee Benefits,Economic Development Administration Division,30310
2508,FY15,Economic Development,Employee Benefits,Economic Development Administration Division,29300
15733,FY16,Economic Development,Employer Paid Taxes,Citywide Development Division,28530
2568,FY15,Economic Development,Employer Paid Taxes,Citywide Development Division,28063
2538,FY15,Economic Development,Employer Paid Taxes,Downtown Development Division,25064
2561,FY15,Economic Development,Other Purchased Services,Citywide Development Division,25000
15745,FY16,Economic Development,Other Purchased Services,Citywide Development Division,25000
26637,FY17,Economic Development,Other Purchased Services,Citywide Development Division,25000
15697,FY16,Economic Development,Employer Paid Taxes,Downtown Development Division,23941
2546,FY15,Economic Development,Purchased Property Services,Downtown Development Division,23500
15708,FY16,Economic Development,Purchased Property Services,Downtown Development Division,23500
37246,FY18,Economic Development,Employee Benefits,Citywide Development Division,22200
15688,FY16,Economic Development,Employee Benefits,Economic Development Administration Division,21522
2527,FY15,Economic Development,Other Purchased Services,Downtown Development Division,20000
15723,FY16,Economic Development,Other Purchased Services,Downtown Development Division,20000
26562,FY17,Economic Development,Other Purchased Services,Downtown Development Division,20000
26667,FY17,Economic Development,Other Purchased Services,Citywide Development Division,20000
37260,FY18,Economic Development,Other Purchased Services,Citywide Development Division,20000
26626,FY17,Economic Development,Employer Paid Taxes,Citywide Development Division,19249
15767,FY16,Economic Development,Employee Benefits,Citywide Development Division,18448
2570,FY15,Economic Development,Employee Benefits,Citywide Development Division,18113
2540,FY15,Economic Development,Employee Benefits,Downtown Development Division,16421
15695,FY16,Economic Development,Employee Benefits,Downtown Development Division,15636
37247,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,14000
37264,FY18,Economic Development,General Supplies,Citywide Development Division,13700
2509,FY15,Economic Development,Employee Benefits,Economic Development Administration Division,13383
26628,FY17,Economic Development,Employer Paid Taxes,Citywide Development Division,13275
37283,FY18,Economic Development,Labor Adjustments,Citywide Development Division,12536
2569,FY15,Economic Development,Employee Benefits,Citywide Development Division,12000
2581,FY15,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,12000
15732,FY16,Economic Development,Employee Benefits,Citywide Development Division,12000
15737,FY16,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,12000
26624,FY17,Economic Development,Employee Benefits,Citywide Development Division,12000
26629,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,12000
2515,FY15,Economic Development,Employee Benefits,Downtown Development Division,11487
15691,FY16,Economic Development,Employee Benefits,Downtown Development Division,11487
26547,FY17,Economic Development,Employee Benefits,Downtown Development Division,11487
15683,FY16,Economic Development,Employer Paid Taxes,Economic Development Administration Division,10646
2505,FY15,Economic Development,Employer Paid Taxes,Economic Development Administration Division,10488
26655,FY17,Economic Development,Employee Benefits,Citywide Development Division,10200
2525,FY15,Economic Development,Other Purchased Services,Downtown Development Division,10000
2559,FY15,Economic Development,Other Purchased Services,Citywide Development Division,10000
15725,FY16,Economic Development,Other Purchased Services,Downtown Development Division,10000
15747,FY16,Economic Development,Other Purchased Services,Citywide Development Division,10000
26564,FY17,Economic Development,Other Purchased Services,Downtown Development Division,10000
26639,FY17,Economic Development,Other Purchased Services,Citywide Development Division,10000
26669,FY17,Economic Development,Other Purchased Services,Citywide Development Division,10000
2555,FY15,Economic Development,General Supplies,Citywide Development Division,7700
15751,FY16,Economic Development,General Supplies,Citywide Development Division,7700
26643,FY17,Economic Development,General Supplies,Citywide Development Division,7700
2539,FY15,Economic Development,Employee Benefits,Downtown Development Division,7200
15696,FY16,Economic Development,Employee Benefits,Downtown Development Division,7200
26549,FY17,Economic Development,Employee Benefits,Downtown Development Division,7200
2507,FY15,Economic Development,Employee Benefits,Economic Development Administration Division,7085
15681,FY16,Economic Development,Employee Benefits,Economic Development Administration Division,6742
15734,FY16,Economic Development,Employer Paid Taxes,Citywide Development Division,6688
2567,FY15,Economic Development,Employer Paid Taxes,Citywide Development Division,6566
26613,FY17,Economic Development,"Charges, Fees, & Services Accounts",Citywide Development Division,6208
26614,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,6208
2522,FY15,Economic Development,General Supplies,Downtown Development Division,6000
15728,FY16,Economic Development,General Supplies,Downtown Development Division,6000
26567,FY17,Economic Development,General Supplies,Downtown Development Division,6000
26672,FY17,Economic Development,General Supplies,Citywide Development Division,6000
37255,FY18,Economic Development,Other Purchased Services,Citywide Development Division,6000
2537,FY15,Economic Development,Employer Paid Taxes,Downtown Development Division,5953
37274,FY18,Economic Development,Other Objects,Citywide Development Division,5850
15698,FY16,Economic Development,Employer Paid Taxes,Downtown Development Division,5668
37259,FY18,Economic Development,Other Purchased Services,Citywide Development Division,5223
2572,FY15,Economic Development,Other Objects,Citywide Development Division,4850
15759,FY16,Economic Development,Other Objects,Citywide Development Division,4850
26651,FY17,Economic Development,Other Objects,Citywide Development Division,4850
15736,FY16,Economic Development,Employer Paid Taxes,Citywide Development Division,4612
2565,FY15,Economic Development,Employer Paid Taxes,Citywide Development Division,4528
2547,FY15,Economic Development,Purchased Property Services,Downtown Development Division,4500
15707,FY16,Economic Development,Purchased Property Services,Downtown Development Division,4500
26556,FY17,Economic Development,Purchased Property Services,Downtown Development Division,4500
26662,FY17,Economic Development,Purchased Property Services,Citywide Development Division,4500
37253,FY18,Economic Development,Purchased Property Services,Citywide Development Division,4500
37272,FY18,Economic Development,Books and Periodicals,Citywide Development Division,4500
2535,FY15,Economic Development,Employer Paid Taxes,Downtown Development Division,4105
2517,FY15,Economic Development,Other Purchased Services,Downtown Development Division,4000
15720,FY16,Economic Development,Other Purchased Services,Downtown Development Division,4000
26559,FY17,Economic Development,Other Purchased Services,Downtown Development Division,4000
26664,FY17,Economic Development,Other Purchased Services,Citywide Development Division,4000
37256,FY18,Economic Development,Other Purchased Services,Citywide Development Division,4000
37257,FY18,Economic Development,Other Purchased Services,Citywide Development Division,4000
15700,FY16,Economic Development,Employer Paid Taxes,Downtown Development Division,3909
37262,FY18,Economic Development,Other Purchased Services,Citywide Development Division,3529
2563,FY15,Economic Development,Other Purchased Services,Citywide Development Division,3500
15743,FY16,Economic Development,Other Purchased Services,Citywide Development Division,3500
26635,FY17,Economic Development,Other Purchased Services,Citywide Development Division,3500
37254,FY18,Economic Development,Purchased Property Services,Citywide Development Division,3500
37270,FY18,Economic Development,Food,Citywide Development Division,3500
2573,FY15,Economic Development,Other Objects,Citywide Development Division,3168
15758,FY16,Economic Development,Other Objects,Citywide Development Division,3168
26650,FY17,Economic Development,Other Objects,Citywide Development Division,3168
37273,FY18,Economic Development,Other Objects,Citywide Development Division,3168
2506,FY15,Economic Development,Employee Benefits,Economic Development Administration Division,3000
2562,FY15,Economic Development,Other Purchased Services,Citywide Development Division,3000
2574,FY15,Economic Development,Books and Periodicals,Citywide Development Division,3000
15682,FY16,Economic Development,Employee Benefits,Economic Development Administration Division,3000
15744,FY16,Economic Development,Other Purchased Services,Citywide Development Division,3000
15757,FY16,Economic Development,Books and Periodicals,Citywide Development Division,3000
26540,FY17,Economic Development,Employee Benefits,Economic Development Administration Division,3000
26636,FY17,Economic Development,Other Purchased Services,Citywide Development Division,3000
26649,FY17,Economic Development,Books and Periodicals,Citywide Development Division,3000
37251,FY18,Economic Development,Purchased Property Services,Citywide Development Division,3000
2504,FY15,Economic Development,Employer Paid Taxes,Economic Development Administration Division,2946
37278,FY18,Economic Development,Interfund SerProvided,Citywide Development Division,2856
15684,FY16,Economic Development,Employer Paid Taxes,Economic Development Administration Division,2830
2560,FY15,Economic Development,Other Purchased Services,Citywide Development Division,2723
15746,FY16,Economic Development,Other Purchased Services,Citywide Development Division,2723
26638,FY17,Economic Development,Other Purchased Services,Citywide Development Division,2723
2557,FY15,Economic Development,Other Purchased Services,Citywide Development Division,2529
15749,FY16,Economic Development,Other Purchased Services,Citywide Development Division,2529
26641,FY17,Economic Development,Other Purchased Services,Citywide Development Division,2529
26627,FY17,Economic Development,Employer Paid Taxes,Citywide Development Division,2520
2518,FY15,Economic Development,Purchased Property Services,Downtown Development Division,2500
2526,FY15,Economic Development,Other Purchased Services,Downtown Development Division,2500
15719,FY16,Economic Development,Purchased Property Services,Downtown Development Division,2500
15724,FY16,Economic Development,Other Purchased Services,Downtown Development Division,2500
26558,FY17,Economic Development,Purchased Property Services,Downtown Development Division,2500
26563,FY17,Economic Development,Other Purchased Services,Downtown Development Division,2500
26663,FY17,Economic Development,Purchased Property Services,Citywide Development Division,2500
26668,FY17,Economic Development,Other Purchased Services,Citywide Development Division,2500
37263,FY18,Economic Development,General Supplies,Citywide Development Division,2500
37268,FY18,Economic Development,General Supplies,Citywide Development Division,2500
26553,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2310
26659,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,2310
2502,FY15,Economic Development,Employer Paid Taxes,Economic Development Administration Division,2032
2513,FY15,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2000
2548,FY15,Economic Development,Purchased Property Services,Downtown Development Division,2000
2551,FY15,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2000
2556,FY15,Economic Development,General Supplies,Citywide Development Division,2000
2576,FY15,Economic Development,Food,Citywide Development Division,2000
2578,FY15,Economic Development,Purchased Property Services,Citywide Development Division,2000
2584,FY15,Economic Development,Other Purchased Services,Citywide Development Division,2000
15701,FY16,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2000
15703,FY16,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2000
15706,FY16,Economic Development,Purchased Property Services,Downtown Development Division,2000
15740,FY16,Economic Development,Purchased Property Services,Citywide Development Division,2000
15742,FY16,Economic Development,Other Purchased Services,Citywide Development Division,2000
15750,FY16,Economic Development,General Supplies,Citywide Development Division,2000
15755,FY16,Economic Development,Food,Citywide Development Division,2000
26550,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2000
26552,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,2000
26555,FY17,Economic Development,Purchased Property Services,Downtown Development Division,2000
26632,FY17,Economic Development,Purchased Property Services,Citywide Development Division,2000
26634,FY17,Economic Development,Other Purchased Services,Citywide Development Division,2000
26642,FY17,Economic Development,General Supplies,Citywide Development Division,2000
26647,FY17,Economic Development,Food,Citywide Development Division,2000
26656,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,2000
26658,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,2000
26661,FY17,Economic Development,Purchased Property Services,Citywide Development Division,2000
37249,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,2000
37252,FY18,Economic Development,Purchased Property Services,Citywide Development Division,2000
15686,FY16,Economic Development,Employer Paid Taxes,Economic Development Administration Division,1952
2564,FY15,Economic Development,Interfund SerProvided,Citywide Development Division,1856
15760,FY16,Economic Development,Interfund SerProvided,Citywide Development Division,1856
26652,FY17,Economic Development,Interfund SerProvided,Citywide Development Division,1856
2542,FY15,Economic Development,Books and Periodicals,Downtown Development Division,1500
2544,FY15,Economic Development,Food,Downtown Development Division,1500
2552,FY15,Economic Development,General Supplies,Citywide Development Division,1500
15709,FY16,Economic Development,Food,Downtown Development Division,1500
15711,FY16,Economic Development,Books and Periodicals,Downtown Development Division,1500
15754,FY16,Economic Development,General Supplies,Citywide Development Division,1500
26571,FY17,Economic Development,Food,Downtown Development Division,1500
26573,FY17,Economic Development,Books and Periodicals,Downtown Development Division,1500
26646,FY17,Economic Development,General Supplies,Citywide Development Division,1500
26676,FY17,Economic Development,Food,Citywide Development Division,1500
26678,FY17,Economic Development,Books and Periodicals,Citywide Development Division,1500
2566,FY15,Economic Development,Employer Paid Taxes,Citywide Development Division,1050
15735,FY16,Economic Development,Employer Paid Taxes,Citywide Development Division,1050
2519,FY15,Economic Development,Energy and Fuel,Downtown Development Division,1000
2520,FY15,Economic Development,General Supplies,Downtown Development Division,1000
2524,FY15,Economic Development,Other Purchased Services,Downtown Development Division,1000
2528,FY15,Economic Development,Other Purchased Services,Downtown Development Division,1000
2530,FY15,Economic Development,Other Objects,Downtown Development Division,1000
2531,FY15,Economic Development,Interfund SerProvided,Downtown Development Division,1000
2532,FY15,Economic Development,Property Accounts,Downtown Development Division,1000
2533,FY15,Economic Development,Property Accounts,Downtown Development Division,1000
2549,FY15,Economic Development,Purchased Property Services,Downtown Development Division,1000
2558,FY15,Economic Development,Other Purchased Services,Citywide Development Division,1000
2585,FY15,Economic Development,Purchased Property Services,Citywide Development Division,1000
15705,FY16,Economic Development,Purchased Property Services,Downtown Development Division,1000
15712,FY16,Economic Development,Other Objects,Downtown Development Division,1000
15713,FY16,Economic Development,Property Accounts,Downtown Development Division,1000
15714,FY16,Economic Development,Property Accounts,Downtown Development Division,1000
15715,FY16,Economic Development,Interfund SerProvided,Downtown Development Division,1000
15722,FY16,Economic Development,Other Purchased Services,Downtown Development Division,1000
15726,FY16,Economic Development,Other Purchased Services,Downtown Development Division,1000
15730,FY16,Economic Development,General Supplies,Downtown Development Division,1000
15731,FY16,Economic Development,Energy and Fuel,Downtown Development Division,1000
15741,FY16,Economic Development,Purchased Property Services,Citywide Development Division,1000
15748,FY16,Economic Development,Other Purchased Services,Citywide Development Division,1000
26554,FY17,Economic Development,Purchased Property Services,Downtown Development Division,1000
26561,FY17,Economic Development,Other Purchased Services,Downtown Development Division,1000
26565,FY17,Economic Development,Other Purchased Services,Downtown Development Division,1000
26569,FY17,Economic Development,General Supplies,Downtown Development Division,1000
26570,FY17,Economic Development,Energy and Fuel,Downtown Development Division,1000
26574,FY17,Economic Development,Other Objects,Downtown Development Division,1000
26575,FY17,Economic Development,Property Accounts,Downtown Development Division,1000
26576,FY17,Economic Development,Property Accounts,Downtown Development Division,1000
26577,FY17,Economic Development,Interfund SerProvided,Downtown Development Division,1000
26611,FY17,Economic Development,Interfund SerProvided,Citywide Development Division,1000
26633,FY17,Economic Development,Purchased Property Services,Citywide Development Division,1000
26640,FY17,Economic Development,Other Purchased Services,Citywide Development Division,1000
26660,FY17,Economic Development,Purchased Property Services,Citywide Development Division,1000
26666,FY17,Economic Development,Other Purchased Services,Citywide Development Division,1000
26670,FY17,Economic Development,Other Purchased Services,Citywide Development Division,1000
26674,FY17,Economic Development,General Supplies,Citywide Development Division,1000
26675,FY17,Economic Development,Energy and Fuel,Citywide Development Division,1000
26679,FY17,Economic Development,Other Objects,Citywide Development Division,1000
26680,FY17,Economic Development,Property Accounts,Citywide Development Division,1000
26681,FY17,Economic Development,Property Accounts,Citywide Development Division,1000
37261,FY18,Economic Development,Other Purchased Services,Citywide Development Division,1000
37269,FY18,Economic Development,Energy and Fuel,Citywide Development Division,1000
37271,FY18,Economic Development,Books and Periodicals,Citywide Development Division,1000
37276,FY18,Economic Development,Property Accounts,Citywide Development Division,1000
37277,FY18,Economic Development,Property Accounts,Citywide Development Division,1000
2536,FY15,Economic Development,Employer Paid Taxes,Downtown Development Division,840
15699,FY16,Economic Development,Employer Paid Taxes,Downtown Development Division,840
2521,FY15,Economic Development,General Supplies,Downtown Development Division,500
2523,FY15,Economic Development,General Supplies,Downtown Development Division,500
2529,FY15,Economic Development,Other Purchased Services,Downtown Development Division,500
2543,FY15,Economic Development,Books and Periodicals,Downtown Development Division,500
2575,FY15,Economic Development,Books and Periodicals,Citywide Development Division,500
15710,FY16,Economic Development,Books and Periodicals,Downtown Development Division,500
15721,FY16,Economic Development,Other Purchased Services,Downtown Development Division,500
15727,FY16,Economic Development,General Supplies,Downtown Development Division,500
15729,FY16,Economic Development,General Supplies,Downtown Development Division,500
15756,FY16,Economic Development,Books and Periodicals,Citywide Development Division,500
26560,FY17,Economic Development,Other Purchased Services,Downtown Development Division,500
26566,FY17,Economic Development,General Supplies,Downtown Development Division,500
26568,FY17,Economic Development,General Supplies,Downtown Development Division,500
26572,FY17,Economic Development,Books and Periodicals,Downtown Development Division,500
26648,FY17,Economic Development,Books and Periodicals,Citywide Development Division,500
26665,FY17,Economic Development,Other Purchased Services,Citywide Development Division,500
26671,FY17,Economic Development,General Supplies,Citywide Development Division,500
26673,FY17,Economic Development,General Supplies,Citywide Development Division,500
26677,FY17,Economic Development,Books and Periodicals,Citywide Development Division,500
37267,FY18,Economic Development,General Supplies,Citywide Development Division,500
2503,FY15,Economic Development,Employer Paid Taxes,Economic Development Administration Division,420
15685,FY16,Economic Development,Employer Paid Taxes,Economic Development Administration Division,420
2586,FY15,Economic Development,Purchased Property Services,Citywide Development Division,170
2553,FY15,Economic Development,General Supplies,Citywide Development Division,100
2582,FY15,Economic Development,Employee Benefits,Citywide Development Division,100
15753,FY16,Economic Development,General Supplies,Citywide Development Division,100
15764,FY16,Economic Development,Employee Benefits,Citywide Development Division,100
26619,FY17,Economic Development,Employee Benefits,Citywide Development Division,100
26645,FY17,Economic Development,General Supplies,Citywide Development Division,100
37266,FY18,Economic Development,General Supplies,Citywide Development Division,100
37319,FY18,Economic Development,Employee Benefits,Citywide Development Division,100
2554,FY15,Economic Development,General Supplies,Citywide Development Division,50
15752,FY16,Economic Development,General Supplies,Citywide Development Division,50
26644,FY17,Economic Development,General Supplies,Citywide Development Division,50
37265,FY18,Economic Development,General Supplies,Citywide Development Division,50
15762,FY16,Economic Development,Purchased Property Services,Citywide Development Division,10
37302,FY18,Economic Development,General Supplies,Citywide Development Division,-50
37281,FY18,Economic Development,Employee Benefits,Citywide Development Division,-100
37303,FY18,Economic Development,General Supplies,Citywide Development Division,-100
26591,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-500
26597,FY17,Economic Development,General Supplies,Downtown Development Division,-500
26599,FY17,Economic Development,General Supplies,Downtown Development Division,-500
26603,FY17,Economic Development,Books and Periodicals,Downtown Development Division,-500
37304,FY18,Economic Development,General Supplies,Citywide Development Division,-500
26586,FY17,Economic Development,Purchased Property Services,Downtown Development Division,-1000
26592,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-1000
26596,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-1000
26600,FY17,Economic Development,General Supplies,Downtown Development Division,-1000
26601,FY17,Economic Development,Energy and Fuel,Downtown Development Division,-1000
26605,FY17,Economic Development,Other Objects,Downtown Development Division,-1000
26606,FY17,Economic Development,Property Accounts,Downtown Development Division,-1000
26607,FY17,Economic Development,Property Accounts,Downtown Development Division,-1000
26608,FY17,Economic Development,Interfund SerProvided,Downtown Development Division,-1000
37298,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-1000
37306,FY18,Economic Development,Energy and Fuel,Citywide Development Division,-1000
37308,FY18,Economic Development,Books and Periodicals,Citywide Development Division,-1000
37313,FY18,Economic Development,Property Accounts,Citywide Development Division,-1000
37314,FY18,Economic Development,Property Accounts,Citywide Development Division,-1000
15680,FY16,Economic Development,Employee Benefits,Economic Development Administration Division,-1420
26602,FY17,Economic Development,Food,Downtown Development Division,-1500
26604,FY17,Economic Development,Books and Periodicals,Downtown Development Division,-1500
26582,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,-2000
26584,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,-2000
26587,FY17,Economic Development,Purchased Property Services,Downtown Development Division,-2000
37286,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,-2000
37289,FY18,Economic Development,Purchased Property Services,Citywide Development Division,-2000
26585,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,-2310
26589,FY17,Economic Development,Purchased Property Services,Downtown Development Division,-2500
26594,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-2500
37300,FY18,Economic Development,General Supplies,Citywide Development Division,-2500
37305,FY18,Economic Development,General Supplies,Citywide Development Division,-2500
37315,FY18,Economic Development,Interfund SerProvided,Citywide Development Division,-2856
26542,FY17,Economic Development,Employee Benefits,Economic Development Administration Division,-3000
37288,FY18,Economic Development,Purchased Property Services,Citywide Development Division,-3000
37310,FY18,Economic Development,Other Objects,Citywide Development Division,-3168
37291,FY18,Economic Development,Purchased Property Services,Citywide Development Division,-3500
37307,FY18,Economic Development,Food,Citywide Development Division,-3500
37299,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-3529
26590,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-4000
37293,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-4000
37294,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-4000
26588,FY17,Economic Development,Purchased Property Services,Downtown Development Division,-4500
37290,FY18,Economic Development,Purchased Property Services,Citywide Development Division,-4500
37309,FY18,Economic Development,Books and Periodicals,Citywide Development Division,-4500
37296,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-5223
37311,FY18,Economic Development,Other Objects,Citywide Development Division,-5850
26598,FY17,Economic Development,General Supplies,Downtown Development Division,-6000
37292,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-6000
26581,FY17,Economic Development,Employee Benefits,Downtown Development Division,-7200
26595,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-10000
26622,FY17,Economic Development,Employee Benefits,Citywide Development Division,-10611
26579,FY17,Economic Development,Employee Benefits,Downtown Development Division,-11487
37279,FY18,Economic Development,Labor Adjustments,Citywide Development Division,-12536
37301,FY18,Economic Development,General Supplies,Citywide Development Division,-13700
37284,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,-14000
26593,FY17,Economic Development,Other Purchased Services,Downtown Development Division,-20000
37297,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-20000
37282,FY18,Economic Development,Employee Benefits,Citywide Development Division,-22200
15716,FY16,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,-25690
15761,FY16,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,-30000
26580,FY17,Economic Development,Employee Benefits,Downtown Development Division,-34388
2501,FY15,Economic Development,Service & Supply Adjustments,Economic Development Administration Division,-34414
15678,FY16,Economic Development,Service & Supply Adjustments,Economic Development Administration Division,-34414
26541,FY17,Economic Development,Service & Supply Adjustments,Economic Development Administration Division,-34414
26612,FY17,Economic Development,Service & Supply Adjustments,Citywide Development Division,-34414
37275,FY18,Economic Development,Service & Supply Adjustments,Citywide Development Division,-34414
26583,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,-37310
37295,FY18,Economic Development,Other Purchased Services,Citywide Development Division,-45000
2587,FY15,Economic Development,Interfund Reimbursement,Citywide Development Division,-50000
2590,FY15,Economic Development,Interfund Reimbursement,Citywide Development Division,-50000
15717,FY16,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,-55690
37287,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,-73530
26609,FY17,Economic Development,"Charges, Fees, & Services Accounts",Downtown Development Division,-74880
26610,FY17,Economic Development,Purchased Property Services,Downtown Development Division,-74880
26543,FY17,Economic Development,Purchased Prof and Tech Svcs,Economic Development Administration Division,-97688
26615,FY17,Economic Development,Intergovernmental Accounts,Citywide Development Division,-107000
37317,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,-125000
